X5uM_10h X5uM_10h.1 X5uM_10h.2 X5uM_10h.3 X5uM_10h.4 X5uM_10h.5 Veh_24h Veh_24h.1 Veh_24h.2 Veh_24h.3 Veh_24h.4 Veh_24h.5 X5uM_24h X5uM_24h.1 X5uM_24h.2 X5uM_24h.3 X5uM_24h.4 X5uM_24h.5 X10uM_24h X10uM_24h.1 X10uM_24h.2 X10uM_24h.3 X10uM_24h.4 X10uM_24h.5 UT_48h UT_48h.1 UT_48h.2 UT_48h.3 UT_48h.4 UT_48h.5 Veh_48h Veh_48h.1 Veh_48h.2 Veh_48h.3 Veh_48h.4 Veh_48h.5 Veh_72h Veh_72h.1 Veh_72h.2 Veh_72h.3 Veh_72h.4 Veh_72h.5
0.7490157 0.7432512 0.7469322 0.7469322 0.7438482 0.7438482 0.7521032 0.7515933 0.7500128 0.7515933 0.7457871 0.7543855 0.7562551 0.7526120 0.7547246 0.7530899 0.7551338 0.7547246 0.7577900 0.7557277 0.7562551 0.7577900 0.7500128 0.7485355 0.7573849 0.7543855 0.7547246 0.7547246 0.7582137 0.7526120 0.7562551 0.7547246 0.7615428 0.7551338 0.7547246 0.7515933 0.7500128 0.7624133 0.7547246 0.7547246 0.7562551 0.7452295
0.7788068 0.7754872 0.7759201 0.7768563 0.7768563 0.7748996 0.7826760 0.7808812 0.7826760 0.7764704 0.7814888 0.7820669 0.7841099 0.7820669 0.7832425 0.7773370 0.7849652 0.7841099 0.7844704 0.7907372 0.7853342 0.7907372 0.7844704 0.7800158 0.7867592 0.7808812 0.7878266 0.7681032 0.7853342 0.7837198 0.7832425 0.7826760 0.7878266 0.7826760 0.7882586 0.7841099 0.7844704 0.7873704 0.7873704 0.7860521 0.7849652 0.7826760
0.7521032 0.7547246 0.7426980 0.7457871 0.7515933 0.7573849 0.7573849 0.7659790 0.8175172 0.8112223 0.8159895 0.8248688 0.7582137 0.7629022 0.7777744 0.7681032 0.7759201 0.7867592 0.7481189 0.7573849 0.7534929 0.7551338 0.7615428 0.7573849 0.8203980 0.8167147 0.8112223 0.7860521 0.8027378 0.8212590 0.8077153 0.8095090 0.8212590 0.8027378 0.8077153 0.8212590 0.8062374 0.8077153 0.8120457 0.8044968 0.8145412 0.8175172
0.7265013 0.7190490 0.7108687 0.7257380 0.7212860 0.7218473 0.7318475 0.7257380 0.7242839 0.7332217 0.7295363 0.7324890 0.7225350 0.7361739 0.7288014 0.7295363 0.7346337 0.7288014 0.7242839 0.7332217 0.7265013 0.7312514 0.7265013 0.7123576 0.7426980 0.7367821 0.7414022 0.7094053 0.7432512 0.7361739 0.7361739 0.7312514 0.7388875 0.7324890 0.7401036 0.7367821 0.7318475 0.7394323 0.7367821 0.7407332 0.7394323 0.7350686
0.7420744 0.7350686 0.7242839 0.7282445 0.7131528 0.7312514 0.7426980 0.7407332 0.7304729 0.7149958 0.7324890 0.7304729 0.7367821 0.7318475 0.7234259 0.7182572 0.7257380 0.6851022 0.7457871 0.7357030 0.7452295 0.7265013 0.7361739 0.7159064 0.7190490 0.7190490 0.7457871 0.7655913 0.7271830 0.7234259 0.7312514 0.7197825 0.7312514 0.7190490 0.7197825 0.7388875 0.7426980 0.7123576 0.7414022 0.7312514 0.7250225 0.7282445
0.7832425 0.7696713 0.7706816 0.7837198 0.7773370 0.7844704 0.7692501 0.7820669 0.7447130 0.7768563 0.7543855 0.7748996 0.7674833 0.7764704 0.7759201 0.7732421 0.7687778 0.7808812 0.7600870 0.7804660 0.7624133 0.7687778 0.7808812 0.7902729 0.7800158 0.7983881 0.7610486 0.7350686 0.7788068 0.7953587 0.7896484 0.7878266 0.7768563 0.7853342 0.7664424 0.7882586 0.7913109 0.8027378 0.7788068 0.7820669 0.7882586 0.7940069
0.6948471 0.7059879 0.6871066 0.6762891 0.6935229 0.6891711 0.7115280 0.7024933 0.6919499 0.6987453 0.6979411 0.6476701 0.6906971 0.6655793 0.6587258 0.6476701 0.6737986 0.6762891 0.6935229 0.6906971 0.6871066 0.6935229 0.6587258 0.6833562 0.6891711 0.6707206 0.7101877 0.7271830 0.6707206 0.6906971 0.6790496 0.6790496 0.6871066 0.7042674 0.6919499 0.6871066 0.7051056 0.6737986 0.7080109 0.6891711 0.7065651 0.6957286
0.7633482 0.7793345 0.7716231 0.7596190 0.7582137 0.7547246 0.7547246 0.7669706 0.7687778 0.7530899 0.7773370 0.7633482 0.7759201 0.7624133 0.7619836 0.7591316 0.7562551 0.7596190 0.7841099 0.7692501 0.7768563 0.7759201 0.7633482 0.7743496 0.7768563 0.7706816 0.7808812 0.7511130 0.7737420 0.7726782 0.7716231 0.7773370 0.7748996 0.7674833 0.7754872 0.7642042 0.7890158 0.7754872 0.7933455 0.7773370 0.7837198 0.7896484
0.8288535 0.8421062 0.8379306 0.8341196 0.8314983 0.8371625 0.8256313 0.8404358 0.8365555 0.8304816 0.8390582 0.8324613 0.8350098 0.8379306 0.8357605 0.8324613 0.8314983 0.8357605 0.8350098 0.8357605 0.8333037 0.8297723 0.8324613 0.8324613 0.8288535 0.8357605 0.8333037 0.8341196 0.8324613 0.8269954 0.8314983 0.8383553 0.8324613 0.8341196 0.8248688 0.8288535 0.8379306 0.8500370 0.8297723 0.8297723 0.8396689 0.8297723
0.8415716 0.8410330 0.8371625 0.8410330 0.8379306 0.8365555 0.8396689 0.8357605 0.8341196 0.8404358 0.8324613 0.8365555 0.8390582 0.8365555 0.8404358 0.8410330 0.8383553 0.8371625 0.8365555 0.8396689 0.8371625 0.8396689 0.8341196 0.8288535 0.8442159 0.8404358 0.8379306 0.8404358 0.8396689 0.8357605 0.8383553 0.8379306 0.8396689 0.8410330 0.8427014 0.8379306 0.8357605 0.8404358 0.8383553 0.8421062 0.8341196 0.8350098
0.7582137 0.7312514 0.7577900 0.7636946 0.7629022 0.7481189 0.7659790 0.7573849 0.7768563 0.7720770 0.7650925 0.7777744 0.7655913 0.7582137 0.7624133 0.7534929 0.7650925 0.7591316 0.7754872 0.7681032 0.7655913 0.7793345 0.7636946 0.7650925 0.7873704 0.7720770 0.7940069 0.7674833 0.7844704 0.7965003 0.7681032 0.7557277 0.7896484 0.7764704 0.7820669 0.7902729 0.7773370 0.7711623 0.8077153 0.8037947 0.7853342 0.7978204
0.6737986 0.6476701 0.6587258 0.6587258 0.6587258 0.6476701 0.6476701 0.6707206 0.6762891 0.6707206 0.6948471 0.6762891 0.6762891 0.6707206 0.6655793 0.6737986 0.6762891 0.6707206 0.6996408 0.6762891 0.6833562 0.6655793 0.6762891 0.6919499 0.7034080 0.6952878 0.6987453 0.6587258 0.6815066 0.6935229 0.6871066 0.6871066 0.6790496 0.6891711 0.6957286 0.6919499 0.7526120 0.6948471 0.7065651 0.7042674 0.6737986 0.7101877
0.7014841 0.7212860 0.7138419 0.7042674 0.7086465 0.7123576 0.6919499 0.7204311 0.7131528 0.6996408 0.7149958 0.6871066 0.7288014 0.7304729 0.7204311 0.7174055 0.7101877 0.7123576 0.7495534 0.7204311 0.7381187 0.7212860 0.7182572 0.7350686 0.6996408 0.7051056 0.7242839 0.6919499 0.7065651 0.7159064 0.7204311 0.7145012 0.7138419 0.7065651 0.7108687 0.7108687 0.7174055 0.6935229 0.7218473 0.7174055 0.7115280 0.7159064
0.7324890 0.7543855 0.7543855 0.7346337 0.7282445 0.7443058 0.7490157 0.7605986 0.7615428 0.7495534 0.7605986 0.7457871 0.7615428 0.7495534 0.7420744 0.7463479 0.7373977 0.7420744 0.7702123 0.7373977 0.7645801 0.7495534 0.7443058 0.7557277 0.7443058 0.7394323 0.7702123 0.7485355 0.7426980 0.7438482 0.7624133 0.7655913 0.7538571 0.7547246 0.7505276 0.7432512 0.7633482 0.7204311 0.7619836 0.7401036 0.7463479 0.7551338
0.9684677 0.9684677 0.9684677 0.9684677 0.9684677 0.9684677 0.9638595 0.9486448 0.9638595 0.9684677 0.9638595 0.9638595 0.9638595 0.9684677 0.9684677 0.9684677 0.9684677 0.9684677 0.9638595 0.9684677 0.9684677 0.9684677 0.9684677 0.9638595 0.9638595 0.9638595 0.9684677 0.9684677 0.9578059 0.9578059 0.9638595 0.9578059 0.9684677 0.9684677 0.9638595 0.9638595 0.9578059 0.9638595 0.9578059 0.9684677 0.9684677 0.9578059
0.8019525 0.8167147 0.7953587 0.7989773 0.8012583 0.7989773 0.7726782 0.7591316 0.7426980 0.7562551 0.7447130 0.7515933 0.7849652 0.7913109 0.7907372 0.7919664 0.7959437 0.7933455 0.7873704 0.7945989 0.7844704 0.7989773 0.8012583 0.7945989 0.7615428 0.7596190 0.7225350 0.7837198 0.7367821 0.7295363 0.7401036 0.7318475 0.7295363 0.7332217 0.7318475 0.7304729 0.7234259 0.7324890 0.7145012 0.7265013 0.7212860 0.7065651
0.7108687 0.7080109 0.7250225 0.7159064 0.7108687 0.7101877 0.7271830 0.7174055 0.7051056 0.7005497 0.7190490 0.6957286 0.7131528 0.7080109 0.7034080 0.7034080 0.7065651 0.7086465 0.7204311 0.7065651 0.7138419 0.6587258 0.7080109 0.7225350 0.7024933 0.7094053 0.7149958 0.7080109 0.7024933 0.7182572 0.7115280 0.7059879 0.6968119 0.7080109 0.7042674 0.7014841 0.7225350 0.7115280 0.7401036 0.7190490 0.7234259 0.7381187
0.7940069 0.8019525 0.8070680 0.7933455 0.7971081 0.7971081 0.8127356 0.8185455 0.8197413 0.8103812 0.8190426 0.8027378 0.8197413 0.8112223 0.8005223 0.8005223 0.8012583 0.8044968 0.8262028 0.8077153 0.8212590 0.8120457 0.8062374 0.8136203 0.8159895 0.8127356 0.8415716 0.8333037 0.8288535 0.8324613 0.8333037 0.8304816 0.8197413 0.8248688 0.8288535 0.8248688 0.8475902 0.8341196 0.8527655 0.8390582 0.8383553 0.8457588
0.7367821 0.7318475 0.6906971 0.7242839 0.7373977 0.7361739 0.7591316 0.7538571 0.7959437 0.7945989 0.7882586 0.7919664 0.7463479 0.7511130 0.7586579 0.7557277 0.7702123 0.7629022 0.7414022 0.7432512 0.7394323 0.7401036 0.7447130 0.7338701 0.7965003 0.7711623 0.7890158 0.7896484 0.7820669 0.7814888 0.7748996 0.7788068 0.7849652 0.7945989 0.7940069 0.7814888 0.7837198 0.7511130 0.7849652 0.7940069 0.7933455 0.7878266
0.7945989 0.7860521 0.7783414 0.7890158 0.7804660 0.7777744 0.7926515 0.7919664 0.7999406 0.7989773 0.8037947 0.8012583 0.8037947 0.8037947 0.7919664 0.7953587 0.8005223 0.7978204 0.8044968 0.8070680 0.8005223 0.8019525 0.7953587 0.7896484 0.8278200 0.8212590 0.8197413 0.8197413 0.8212590 0.8203980 0.8203980 0.8190426 0.8248688 0.8218909 0.8226077 0.8197413 0.8212590 0.8233590 0.8167147 0.8262028 0.8185455 0.8145412
0.9105157 0.9105157 0.9105157 0.9132321 0.9105157 0.9085012 0.9105157 0.8802478 0.9014029 0.9132321 0.9014029 0.9085012 0.9085012 0.9085012 0.9132321 0.9132321 0.9085012 0.9105157 0.9043405 0.9085012 0.9014029 0.9085012 0.9043405 0.9043405 0.9064512 0.8983805 0.9043405 0.9234430 0.8936657 0.8983805 0.9014029 0.8955195 0.9064512 0.9171286 0.9014029 0.8983805 0.8955195 0.9014029 0.8955195 0.9064512 0.8955195 0.8936657
0.7629022 0.7832425 0.7582137 0.7500128 0.7605986 0.7605986 0.7304729 0.7108687 0.6968119 0.7190490 0.7014841 0.7123576 0.7381187 0.7414022 0.7474288 0.7543855 0.7474288 0.7495534 0.7304729 0.7414022 0.7388875 0.7515933 0.7495534 0.7401036 0.7159064 0.7182572 0.6833562 0.7414022 0.7034080 0.6762891 0.6737986 0.6737986 0.6707206 0.6707206 0.6833562 0.6707206 0.6790496 0.6891711 0.6762891 0.6815066 0.6476701 0.6587258
0.7853342 0.7826760 0.7726782 0.7832425 0.7890158 0.7860521 0.7820669 0.7837198 0.7610486 0.7841099 0.7591316 0.7732421 0.7737420 0.7783414 0.7783414 0.7788068 0.7748996 0.7800158 0.7547246 0.7720770 0.7591316 0.7737420 0.7748996 0.7696713 0.7732421 0.7841099 0.7511130 0.7586579 0.7702123 0.7702123 0.7826760 0.7820669 0.7726782 0.7783414 0.7696713 0.7768563 0.7711623 0.7841099 0.7485355 0.7702123 0.7716231 0.7669706
0.8790264 0.8743346 0.8743346 0.8802478 0.8790264 0.8802478 0.8802478 0.8770155 0.8684248 0.8802478 0.8600258 0.8717226 0.8725057 0.8778706 0.8778706 0.8802478 0.8790264 0.8790264 0.8621661 0.8778706 0.8647650 0.8770155 0.8813756 0.8790264 0.8708218 0.8813756 0.8607598 0.8607598 0.8732473 0.8725057 0.8743346 0.8762044 0.8732473 0.8732473 0.8674466 0.8770155 0.8699465 0.8762044 0.8647650 0.8699465 0.8732473 0.8717226
0.7978204 0.8151944 0.7896484 0.7919664 0.7978204 0.7978204 0.7759201 0.7633482 0.7469322 0.7596190 0.7521032 0.7596190 0.7808812 0.7867592 0.7902729 0.7896484 0.7907372 0.7878266 0.7820669 0.7890158 0.7793345 0.7940069 0.7933455 0.7853342 0.7773370 0.7768563 0.7500128 0.7530899 0.7605986 0.7495534 0.7511130 0.7490157 0.7530899 0.7538571 0.7526120 0.7534929 0.7573849 0.7573849 0.7567613 0.7624133 0.7500128 0.7438482
0.9085012 0.9171286 0.9171286 0.9064512 0.9171286 0.9171286 0.9171286 0.9234430 0.9171286 0.9085012 0.9171286 0.9064512 0.9234430 0.9171286 0.9171286 0.9234430 0.9171286 0.9171286 0.9262586 0.9132321 0.9234430 0.9171286 0.9171286 0.9262586 0.8983805 0.9043405 0.9171286 0.9064512 0.8983805 0.9014029 0.9171286 0.9171286 0.9043405 0.9105157 0.9085012 0.9014029 0.9105157 0.8936657 0.9043405 0.8955195 0.8881405 0.9014029
0.7873704 0.7726782 0.7945989 0.8012583 0.8077153 0.7800158 0.7913109 0.7841099 0.7860521 0.7773370 0.7919664 0.7764704 0.7902729 0.7788068 0.7655913 0.7808812 0.7788068 0.7664424 0.7953587 0.7867592 0.7808812 0.7873704 0.7860521 0.7681032 0.7913109 0.7820669 0.7873704 0.7783414 0.7913109 0.7820669 0.7837198 0.7800158 0.7800158 0.7814888 0.7878266 0.7788068 0.7716231 0.7706816 0.7800158 0.7777744 0.7748996 0.7748996
0.7165829 0.6979411 0.7318475 0.7350686 0.7420744 0.7257380 0.7174055 0.6948471 0.7034080 0.7051056 0.7101877 0.7108687 0.7115280 0.7197825 0.7094053 0.7101877 0.7123576 0.7072074 0.7197825 0.7271830 0.7197825 0.7257380 0.7218473 0.7024933 0.7123576 0.7014841 0.7059879 0.6655793 0.7242839 0.7094053 0.7065651 0.6935229 0.7072074 0.6871066 0.7234259 0.7086465 0.6968119 0.7065651 0.7005497 0.7086465 0.7131528 0.6948471
0.6790496 0.6587258 0.6476701 0.6833562 0.6707206 0.6737986 0.6790496 0.6587258 0.6476701 0.6737986 0.6587258 0.6587258 0.6707206 0.6833562 0.6707206 0.6587258 0.6707206 0.6476701 0.6871066 0.6707206 0.6737986 0.6707206 0.6707206 0.6587258 0.6587258 0.6587258 0.6737986 0.7014841 0.6476701 0.6476701 0.6655793 0.6587258 0.6476701 0.6587258 0.6655793 0.6476701 0.6587258 0.6655793 0.6737986 0.6655793 0.6655793 0.6655793
0.7610486 0.7586579 0.7636946 0.7645801 0.7681032 0.7655913 0.7808812 0.7737420 0.7696713 0.7716231 0.7692501 0.7743496 0.7837198 0.7808812 0.7837198 0.7814888 0.7793345 0.7764704 0.7814888 0.7849652 0.7837198 0.7890158 0.7768563 0.7716231 0.7783414 0.7759201 0.7826760 0.7692501 0.7814888 0.7768563 0.7844704 0.7844704 0.7814888 0.7773370 0.7837198 0.7783414 0.7826760 0.7867592 0.7764704 0.7768563 0.7793345 0.7754872
0.8551582 0.8591092 0.8591092 0.8452748 0.8493963 0.8519291 0.8519291 0.8571663 0.8638091 0.8488038 0.8663336 0.8571663 0.8600258 0.8536043 0.8560557 0.8551582 0.8543585 0.8527655 0.8638091 0.8591092 0.8638091 0.8551582 0.8536043 0.8621661 0.8614617 0.8614617 0.8699465 0.8500370 0.8630288 0.8663336 0.8581065 0.8591092 0.8519291 0.8469464 0.8560557 0.8508609 0.8647650 0.8600258 0.8708218 0.8515138 0.8647650 0.8647650
0.9363678 0.9305863 0.9305863 0.9363678 0.9363678 0.9363678 0.9363678 0.9363678 0.9262586 0.9262586 0.9234430 0.9262586 0.9305863 0.9363678 0.9363678 0.9363678 0.9363678 0.9363678 0.9305863 0.9363678 0.9305863 0.9363678 0.9305863 0.9305863 0.9305863 0.9234430 0.9262586 0.9363678 0.9234430 0.9262586 0.9305863 0.9363678 0.9305863 0.9305863 0.9305863 0.9305863 0.9234430 0.9234430 0.9234430 0.9234430 0.9234430 0.9234430
0.7373977 0.6948471 0.7338701 0.7443058 0.7295363 0.7265013 0.7463479 0.7420744 0.7373977 0.7511130 0.7505276 0.7547246 0.7346337 0.7346337 0.7271830 0.7271830 0.7318475 0.7225350 0.7174055 0.7361739 0.7212860 0.7350686 0.7350686 0.7174055 0.7420744 0.7495534 0.7573849 0.7242839 0.7547246 0.7443058 0.7420744 0.7234259 0.7414022 0.7250225 0.7534929 0.7457871 0.7357030 0.7367821 0.7591316 0.7619836 0.7674833 0.7573849
0.8062374 0.8095090 0.8112223 0.8070680 0.8159895 0.8077153 0.8197413 0.8145412 0.8077153 0.8070680 0.8070680 0.8120457 0.8190426 0.8190426 0.8226077 0.8197413 0.8256313 0.8233590 0.8297723 0.8341196 0.8314983 0.8314983 0.8288535 0.8262028 0.7953587 0.7896484 0.7933455 0.7978204 0.7907372 0.7913109 0.8037947 0.8012583 0.7953587 0.7965003 0.7926515 0.7867592 0.7754872 0.7808812 0.7562551 0.7610486 0.7615428 0.7642042
0.7983881 0.8005223 0.7526120 0.8159895 0.8005223 0.7650925 0.8052233 0.7732421 0.7650925 0.7837198 0.7926515 0.7534929 0.7913109 0.8062374 0.8127356 0.8052233 0.8151944 0.8052233 0.8127356 0.7764704 0.7820669 0.7832425 0.7873704 0.8070680 0.7999406 0.7913109 0.7989773 0.8218909 0.7873704 0.7777744 0.8151944 0.7808812 0.7907372 0.8365555 0.8379306 0.7860521 0.7878266 0.7716231 0.8087088 0.8052233 0.8095090 0.7447130
0.9305863 0.9363678 0.9363678 0.9305863 0.9305863 0.9305863 0.9262586 0.9436984 0.9363678 0.9305863 0.9363678 0.9363678 0.9363678 0.9305863 0.9305863 0.9305863 0.9305863 0.9305863 0.9363678 0.9305863 0.9363678 0.9305863 0.9363678 0.9436984 0.9363678 0.9363678 0.9363678 0.9262586 0.9436984 0.9363678 0.9436984 0.9436984 0.9363678 0.9363678 0.9363678 0.9363678 0.9436984 0.9363678 0.9486448 0.9363678 0.9436984 0.9486448
0.8717226 0.8762044 0.8732473 0.8717226 0.8638091 0.8692334 0.8699465 0.8708218 0.8770155 0.8743346 0.8770155 0.8762044 0.8732473 0.8708218 0.8647650 0.8654376 0.8717226 0.8732473 0.8762044 0.8684248 0.8684248 0.8647650 0.8674466 0.8674466 0.8790264 0.8770155 0.8770155 0.8743346 0.8790264 0.8751950 0.8717226 0.8751950 0.8778706 0.8692334 0.8778706 0.8743346 0.8762044 0.8743346 0.8802478 0.8790264 0.8823861 0.8778706
0.8725057 0.8708218 0.8638091 0.8638091 0.8630288 0.8647650 0.8663336 0.8600258 0.8591092 0.8607598 0.8571663 0.8663336 0.8543585 0.8571663 0.8581065 0.8560557 0.8551582 0.8519291 0.8464949 0.8515138 0.8469464 0.8464949 0.8415716 0.8404358 0.8560557 0.8571663 0.8560557 0.8515138 0.8600258 0.8551582 0.8571663 0.8560557 0.8621661 0.8560557 0.8614617 0.8581065 0.8515138 0.8571663 0.8488038 0.8551582 0.8488038 0.8442159
0.7759201 0.7664424 0.7530899 0.7692501 0.7600870 0.7596190 0.7600870 0.7743496 0.7664424 0.7551338 0.7764704 0.7826760 0.7773370 0.7800158 0.7485355 0.7669706 0.7732421 0.7515933 0.7849652 0.7800158 0.7783414 0.7696713 0.7562551 0.7596190 0.7844704 0.7773370 0.7867592 0.8248688 0.7933455 0.7844704 0.7726782 0.7754872 0.7783414 0.7562551 0.7844704 0.7759201 0.7783414 0.7844704 0.7919664 0.7867592 0.7890158 0.7841099
0.7748996 0.7732421 0.7913109 0.7777744 0.7696713 0.7788068 0.7777744 0.7849652 0.7913109 0.7748996 0.7896484 0.7788068 0.7933455 0.7737420 0.7814888 0.7706816 0.7773370 0.7832425 0.7933455 0.7814888 0.7907372 0.7841099 0.7826760 0.7890158 0.7681032 0.7605986 0.7965003 0.7832425 0.7783414 0.7860521 0.7882586 0.7867592 0.7754872 0.7844704 0.7808812 0.7793345 0.7820669 0.7773370 0.7878266 0.7720770 0.7788068 0.7933455
0.6833562 0.6655793 0.6762891 0.6655793 0.6737986 0.6762891 0.6891711 0.6762891 0.7086465 0.7174055 0.7005497 0.6979411 0.6935229 0.6762891 0.6935229 0.6996408 0.6655793 0.6871066 0.6737986 0.6815066 0.6762891 0.6906971 0.6815066 0.7005497 0.7108687 0.7024933 0.7204311 0.6815066 0.6948471 0.6871066 0.6833562 0.7182572 0.7174055 0.7257380 0.6979411 0.7072074 0.7005497 0.7042674 0.6906971 0.7123576 0.7108687 0.7115280
0.8044968 0.8012583 0.8218909 0.8185455 0.8203980 0.8145412 0.8167147 0.8103812 0.8185455 0.8197413 0.8185455 0.8112223 0.8185455 0.8145412 0.8019525 0.8087088 0.8087088 0.8070680 0.8190426 0.8159895 0.8175172 0.8103812 0.8044968 0.8120457 0.8062374 0.7933455 0.8190426 0.8012583 0.8175172 0.8175172 0.8070680 0.8136203 0.8112223 0.8012583 0.8185455 0.8151944 0.8136203 0.8070680 0.8136203 0.8167147 0.8197413 0.8136203
0.7933455 0.7989773 0.7978204 0.7902729 0.7940069 0.7890158 0.8044968 0.7989773 0.7989773 0.7777744 0.7933455 0.7896484 0.7971081 0.7953587 0.7896484 0.7849652 0.7832425 0.7890158 0.8012583 0.7919664 0.7978204 0.7426980 0.7849652 0.7907372 0.7878266 0.7971081 0.7999406 0.7971081 0.7959437 0.7896484 0.7971081 0.7989773 0.7902729 0.7989773 0.7873704 0.7844704 0.8012583 0.7971081 0.8027378 0.7873704 0.7953587 0.7971081
0.7452295 0.7218473 0.7149958 0.7407332 0.7204311 0.7234259 0.7414022 0.7373977 0.7265013 0.7485355 0.7420744 0.7438482 0.7407332 0.7474288 0.7367821 0.7350686 0.7452295 0.7407332 0.7432512 0.7469322 0.7443058 0.7443058 0.7388875 0.7288014 0.7543855 0.7515933 0.7515933 0.7515933 0.7567613 0.7457871 0.7438482 0.7426980 0.7543855 0.7452295 0.7530899 0.7521032 0.7582137 0.7577900 0.7582137 0.7692501 0.7650925 0.7543855
0.7543855 0.7414022 0.7350686 0.7490157 0.7357030 0.7407332 0.7485355 0.7526120 0.7338701 0.7534929 0.7394323 0.7373977 0.7557277 0.7530899 0.7481189 0.7443058 0.7511130 0.7426980 0.7534929 0.7515933 0.7511130 0.7582137 0.7463479 0.7591316 0.7557277 0.7474288 0.7426980 0.7388875 0.7505276 0.7367821 0.7474288 0.7388875 0.7526120 0.7495534 0.7586579 0.7350686 0.7490157 0.7538571 0.7420744 0.7567613 0.7432512 0.7401036
0.8324613 0.8185455 0.8175172 0.8218909 0.8087088 0.8151944 0.8112223 0.8241015 0.8159895 0.8241015 0.8262028 0.8203980 0.8304816 0.8350098 0.8197413 0.8233590 0.8324613 0.8248688 0.8324613 0.8333037 0.8278200 0.8256313 0.8269954 0.8241015 0.8256313 0.8218909 0.8248688 0.8167147 0.8190426 0.8256313 0.8145412 0.8145412 0.8278200 0.8120457 0.8218909 0.8185455 0.8256313 0.8278200 0.8241015 0.8248688 0.8233590 0.8185455
0.7204311 0.7065651 0.7086465 0.7218473 0.7059879 0.7204311 0.7407332 0.7242839 0.7324890 0.7388875 0.7165829 0.7367821 0.7165829 0.7108687 0.7295363 0.7145012 0.7225350 0.7204311 0.7065651 0.7138419 0.7159064 0.7288014 0.6979411 0.7108687 0.7447130 0.7288014 0.7367821 0.7034080 0.7357030 0.7350686 0.7346337 0.7338701 0.7367821 0.7295363 0.7332217 0.7332217 0.7324890 0.7346337 0.7318475 0.7338701 0.7257380 0.7257380
0.7388875 0.7197825 0.7265013 0.7332217 0.7218473 0.7295363 0.7500128 0.7312514 0.7474288 0.7234259 0.7373977 0.7388875 0.7271830 0.7101877 0.7318475 0.7367821 0.7271830 0.7212860 0.7515933 0.7145012 0.7361739 0.7346337 0.7005497 0.7318475 0.7485355 0.7381187 0.7521032 0.7814888 0.7388875 0.7346337 0.7367821 0.7485355 0.7401036 0.7394323 0.7338701 0.7346337 0.7373977 0.7288014 0.7505276 0.7381187 0.7324890 0.7414022
0.7913109 0.7204311 0.7764704 0.7860521 0.7837198 0.7687778 0.7933455 0.7926515 0.7926515 0.7919664 0.7940069 0.7933455 0.7999406 0.7919664 0.7788068 0.7890158 0.7841099 0.7768563 0.7959437 0.8019525 0.7926515 0.8012583 0.7971081 0.7759201 0.7890158 0.7844704 0.7971081 0.7716231 0.8037947 0.7940069 0.7902729 0.7716231 0.7832425 0.7726782 0.7965003 0.7971081 0.7800158 0.7659790 0.8019525 0.8027378 0.7919664 0.7999406
0.7145012 0.7165829 0.7407332 0.7005497 0.6871066 0.7149958 0.7420744 0.7500128 0.7737420 0.7443058 0.7547246 0.7551338 0.7394323 0.7131528 0.7361739 0.7159064 0.7242839 0.7312514 0.7452295 0.7218473 0.7324890 0.7242839 0.7072074 0.7388875 0.7530899 0.7357030 0.7716231 0.7907372 0.7500128 0.7490157 0.7515933 0.7624133 0.7515933 0.7225350 0.7350686 0.7447130 0.7586579 0.7481189 0.7674833 0.7443058 0.7388875 0.7624133
0.7674833 0.7965003 0.7768563 0.7743496 0.7615428 0.7485355 0.7953587 0.7890158 0.7882586 0.7804660 0.7832425 0.7873704 0.7826760 0.7841099 0.7808812 0.7793345 0.7674833 0.7490157 0.7890158 0.7860521 0.7940069 0.7919664 0.7783414 0.7619836 0.7971081 0.7907372 0.7926515 0.8288535 0.7890158 0.7804660 0.7878266 0.7837198 0.7841099 0.7983881 0.7814888 0.7820669 0.7907372 0.8241015 0.7926515 0.7971081 0.7878266 0.7788068
0.8269954 0.8218909 0.8226077 0.8256313 0.8226077 0.8226077 0.8248688 0.8218909 0.8087088 0.8185455 0.8087088 0.8103812 0.8136203 0.8203980 0.8203980 0.8136203 0.8212590 0.8167147 0.8159895 0.8190426 0.8197413 0.8233590 0.8145412 0.8087088 0.8070680 0.8027378 0.8027378 0.8005223 0.8019525 0.8037947 0.8087088 0.8070680 0.8052233 0.8037947 0.8044968 0.7999406 0.7989773 0.8052233 0.7959437 0.7978204 0.7989773 0.7890158
0.7094053 0.7014841 0.7197825 0.7034080 0.6851022 0.7014841 0.6655793 0.6979411 0.7204311 0.6851022 0.6987453 0.6815066 0.7014841 0.6737986 0.6815066 0.7005497 0.6935229 0.6906971 0.7190490 0.6957286 0.6948471 0.6762891 0.6968119 0.7131528 0.6655793 0.6833562 0.6979411 0.7234259 0.6871066 0.6891711 0.6891711 0.6968119 0.6833562 0.7108687 0.6762891 0.6987453 0.6979411 0.6871066 0.7086465 0.6957286 0.6968119 0.7131528
0.8536043 0.8488038 0.8560557 0.8508609 0.8551582 0.8551582 0.8543585 0.8488038 0.8500370 0.8481849 0.8488038 0.8452748 0.8508609 0.8481849 0.8551582 0.8475902 0.8396689 0.8410330 0.8527655 0.8404358 0.8536043 0.8508609 0.8519291 0.8469464 0.8324613 0.8288535 0.8475902 0.8481849 0.8475902 0.8442159 0.8464949 0.8396689 0.8350098 0.8500370 0.8536043 0.8500370 0.8446491 0.8371625 0.8464949 0.8457588 0.8365555 0.8452748
